"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1814","get started link","chromium","Fri Aug 30 16:24:19 ICT 2024","passed","Fri Aug 30 16:24:20 ICT 2024","Using Authentication Status","example.spec.ts","",""
"","4515","has title","chromium","Fri Aug 30 16:24:08 ICT 2024","passed","Fri Aug 30 16:24:13 ICT 2024","Using Authentication Status","example.spec.ts","",""
